"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"245","24.5cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"250","25cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"255","25.5cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"260","26cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"265","26.5cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"270","27cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"275","27.5cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"280","28cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"285","28.5cm","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"290","29cm以上","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"1","XS以下","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"2","S","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"3","M","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"4","L","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"5","XL以上","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"1","XS以下","3421","トランクス","メンズファッション/インナー・ルームウェア"
"2","S","3421","トランクス","メンズファッション/インナー・ルームウェア"
"3","M","3421","トランクス","メンズファッション/インナー・ルームウェア"
"4","L","3421","トランクス","メンズファッション/インナー・ルームウェア"
"5","XL以上","3421","トランクス","メンズファッション/インナー・ルームウェア"
"1","XS以下","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"2","S","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"3","M","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"4","L","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"5","XL以上","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"1","XS以下","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"2","S","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"3","M","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"4","L","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"5","XL以上","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"1","XS以下","3424","ルームウェア・パジャマ","メンズファッション/インナー・ルームウェア"
"2","S","3424","ルームウェア・パジャマ","メンズファッション/インナー・ルームウェア"
"3","M","3424","ルームウェア・パジャマ","メンズファッション/インナー・ルームウェア"
"4","L","3424","ルームウェア・パジャマ","メンズファッション/インナー・ルームウェア"
"5","XL以上","3424","ルームウェア・パジャマ","メンズファッション/インナー・ルームウェア"
"1","XS以下","3425","インナー・ルームウェアその他","メンズファッション/インナー・ルームウェア"
"2","S","3425","インナー・ルームウェアその他","メンズファッション/インナー・ルームウェア"
"3","M","3425","インナー・ルームウェアその他","メンズファッション/インナー・ルームウェア"
"4","L","3425","インナー・ルームウェアその他","メンズファッション/インナー・ルームウェア"
"5","XL以上","3425","インナー・ルームウェアその他","メンズファッション/インナー・ルームウェア"
"300","シングル","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"310","セミダブル","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"320","ダブル","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"330","クイーン","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"340","キング","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"50","50cm以下","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"60","60cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"65","65cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"70","70cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"75","75cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"80","80cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"85","85cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"90","90cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"95","95cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"100","100cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"110","110cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"120","120cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"130","130cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"140","140cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"150","150cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"161","160cm","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"170","170cm以上","3780","ベビーロンパース・カバーオール","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"50","50cm以下","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"60","60cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"65","65cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"70","70cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"75","75cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"80","80cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"85","85cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"90","90cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"95","95cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"100","100cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"110","110cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"120","120cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"130","130cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"140","140cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"150","150cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"161","160cm","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"170","170cm以上","3782","ベビーパジャマ・ルームウェア・スリーパー","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"50","50cm以下","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"60","60cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"65","65cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"70","70cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"75","75cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"80","80cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"85","85cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"90","90cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"95","95cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"100","100cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"110","110cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"120","120cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"130","130cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"140","140cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"150","150cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"161","160cm","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"170","170cm以上","3788","ベビーその他","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"50","50cm以下","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","3823","子供用パジャマ・ルームウェア・スリーパー","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","3824","キッズその他","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"1","XS以下","4101","アンサンブル","レディースファッション/トップス"
"2","S","4101","アンサンブル","レディースファッション/トップス"
"3","M","4101","アンサンブル","レディースファッション/トップス"
"4","L","4101","アンサンブル","レディースファッション/トップス"
"5","XL以上","4101","アンサンブル","レディースファッション/トップス"
"1","XS以下","4102","キャミソール","レディースファッション/トップス"
"2","S","4102","キャミソール","レディースファッション/トップス"
"3","M","4102","キャミソール","レディースファッション/トップス"
"4","L","4102","キャミソール","レディースファッション/トップス"
"5","XL以上","4102","キャミソール","レディースファッション/トップス"
"1","XS以下","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"2","S","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"3","M","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"4","L","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"5","XL以上","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"1","XS以下","4104","レザージャケット・コート","レディースファッション/アウター"
"2","S","4104","レザージャケット・コート","レディースファッション/アウター"
"3","M","4104","レザージャケット・コート","レディースファッション/アウター"
"4","L","4104","レザージャケット・コート","レディースファッション/アウター"
"5","XL以上","4104","レザージャケット・コート","レディースファッション/アウター"
"1","XS以下","4105","トレンチコート","レディースファッション/アウター"
"2","S","4105","トレンチコート","レディースファッション/アウター"
"3","M","4105","トレンチコート","レディースファッション/アウター"
"4","L","4105","トレンチコート","レディースファッション/アウター"
"5","XL以上","4105","トレンチコート","レディースファッション/アウター"
"1","XS以下","4106","ムートン・ファーコート","レディースファッション/アウター"
"2","S","4106","ムートン・ファーコート","レディースファッション/アウター"
"3","M","4106","ムートン・ファーコート","レディースファッション/アウター"
"4","L","4106","ムートン・ファーコート","レディースファッション/アウター"
"5","XL以上","4106","ムートン・ファーコート","レディースファッション/アウター"
"1","XS以下","4107","ベスト・ジレ","レディースファッション/アウター"
"2","S","4107","ベスト・ジレ","レディースファッション/アウター"
"3","M","4107","ベスト・ジレ","レディースファッション/アウター"
"4","L","4107","ベスト・ジレ","レディースファッション/アウター"
"5","XL以上","4107","ベスト・ジレ","レディースファッション/アウター"
"210","21cm以下","4108","スリッポン","レディースファッション/靴・シューズ"
"215","21.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"220","22cm","4108","スリッポン","レディースファッション/靴・シューズ"
"225","22.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"230","23cm","4108","スリッポン","レディースファッション/靴・シューズ"
"235","23.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"240","24cm","4108","スリッポン","レディースファッション/靴・シューズ"
"245","24.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"250","25cm","4108","スリッポン","レディースファッション/靴・シューズ"
"255","25.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"260","26cm","4108","スリッポン","レディースファッション/靴・シューズ"
"265","26.5cm","4108","スリッポン","レディースファッション/靴・シューズ"
"270","27cm以上","4108","スリッポン","レディースファッション/靴・シューズ"
"210","21cm以下","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"215","21.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"220","22cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"225","22.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"230","23cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"235","23.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"240","24cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"245","24.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"250","25cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"255","25.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"260","26cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"265","26.5cm","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"270","27cm以上","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"210","21cm以下","4110","バレエシューズ","レディースファッション/靴・シューズ"
"215","21.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"220","22cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"225","22.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"230","23cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"235","23.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"240","24cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"245","24.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"250","25cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"255","25.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"260","26cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"265","26.5cm","4110","バレエシューズ","レディースファッション/靴・シューズ"
"270","27cm以上","4110","バレエシューズ","レディースファッション/靴・シューズ"
"210","21cm以下","4111","レインシューズ","レディースファッション/靴・シューズ"
"215","21.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"220","22cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"225","22.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"230","23cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"235","23.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"240","24cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"245","24.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"250","25cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"255","25.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"260","26cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"265","26.5cm","4111","レインシューズ","レディースファッション/靴・シューズ"
"270","27cm以上","4111","レインシューズ","レディースファッション/靴・シューズ"
"210","21cm以下","4112","ミドルブーツ","レディースファッション/ブーツ"
"215","21.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"220","22cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"225","22.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"230","23cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"235","23.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"240","24cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"245","24.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"250","25cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"255","25.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"260","26cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"265","26.5cm","4112","ミドルブーツ","レディースファッション/ブーツ"
"270","27cm以上","4112","ミドルブーツ","レディースファッション/ブーツ"
"1","XS以下","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"2","S","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"3","M","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"4","L","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"2","S","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"3","M","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"4","L","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"2","S","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"3","M","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"4","L","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"2","S","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"3","M","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"4","L","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4137","ボードショーツ・レギンス","レディースファッション/水着・ビーチグッズ"
"2","S","4137","ボードショーツ・レギンス","レディースファッション/水着・ビーチグッズ"
"3","M","4137","ボードショーツ・レギンス","レディースファッション/水着・ビーチグッズ"
"4","L","4137","ボードショーツ・レギンス","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4137","ボードショーツ・レギンス","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"2","S","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"3","M","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"4","L","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"5","XL以上","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"1","XS以下","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"2","S","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"3","M","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"4","L","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"5","XL以上","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"1","XS以下","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"2","S","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"3","M","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"4","L","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"5","XL以上","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"1","XS以下","4201","ベスト・ジレ","メンズファッション/トップス"
"2","S","4201","ベスト・ジレ","メンズファッション/トップス"
"3","M","4201","ベスト・ジレ","メンズファッション/トップス"
"4","L","4201","ベスト・ジレ","メンズファッション/トップス"
"5","XL以上","4201","ベスト・ジレ","メンズファッション/トップス"
"1","XS以下","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"2","S","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"3","M","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"4","L","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"5","XL以上","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"1","XS以下","4226","水着・ビーチグッズその他","メンズファッション/水着・ビーチグッズ"
"2","S","4226","水着・ビーチグッズその他","メンズファッション/水着・ビーチグッズ"
"3","M","4226","水着・ビーチグッズその他","メンズファッション/水着・ビーチグッズ"
"4","L","4226","水着・ビーチグッズその他","メンズファッション/水着・ビーチグッズ"
"5","XL以上","4226","水着・ビーチグッズその他","メンズファッション/水着・ビーチグッズ"
"1","XS以下","4227","フィットネストップス","メンズファッション/フィットネス"
"2","S","4227","フィットネストップス","メンズファッション/フィットネス"
"3","M","4227","フィットネストップス","メンズファッション/フィットネス"
"4","L","4227","フィットネストップス","メンズファッション/フィットネス"
"5","XL以上","4227","フィットネストップス","メンズファッション/フィットネス"
"1","XS以下","4228","フィットネスボトムス","メンズファッション/フィットネス"
"2","S","4228","フィットネスボトムス","メンズファッション/フィットネス"
"3","M","4228","フィットネスボトムス","メンズファッション/フィットネス"
"4","L","4228","フィットネスボトムス","メンズファッション/フィットネス"
"5","XL以上","4228","フィットネスボトムス","メンズファッション/フィットネス"
"1","XS以下","4233","水着","メンズファッション/水着・ビーチグッズ"
"2","S","4233","水着","メンズファッション/水着・ビーチグッズ"
"3","M","4233","水着","メンズファッション/水着・ビーチグッズ"
"4","L","4233","水着","メンズファッション/水着・ビーチグッズ"
"5","XL以上","4233","水着","メンズファッション/水着・ビーチグッズ"
"1","XS以下","4236","フリースジャケット","メンズファッション/アウター・ジャケット"
"2","S","4236","フリースジャケット","メンズファッション/アウター・ジャケット"
"3","M","4236","フリースジャケット","メンズファッション/アウター・ジャケット"
"4","L","4236","フリースジャケット","メンズファッション/アウター・ジャケット"
"5","XL以上","4236","フリースジャケット","メンズファッション/アウター・ジャケット"
"50","50cm以下","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"60","60cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"65","65cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"70","70cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"75","75cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"80","80cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"85","85cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"90","90cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"95","95cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"100","100cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"110","110cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"120","120cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"130","130cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"140","140cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"150","150cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"161","160cm","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"170","170cm以上","4501","ベビーワンピース","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"50","50cm以下","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"60","60cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"65","65cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"70","70cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"75","75cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"80","80cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"85","85cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"90","90cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"95","95cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"100","100cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"110","110cm","4502","ベビー用トップス","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
