"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"3","M","3061","ジャケット","レディースファッション/アウター"
"4","L","3061","ジャケット","レディースファッション/アウター"
"5","XL以上","3061","ジャケット","レディースファッション/アウター"
"1","XS以下","3062","ダウンジャケット・コート","レディースファッション/アウター"
"2","S","3062","ダウンジャケット・コート","レディースファッション/アウター"
"3","M","3062","ダウンジャケット・コート","レディースファッション/アウター"
"4","L","3062","ダウンジャケット・コート","レディースファッション/アウター"
"5","XL以上","3062","ダウンジャケット・コート","レディースファッション/アウター"
"1","XS以下","3063","ブルゾン","レディースファッション/アウター"
"2","S","3063","ブルゾン","レディースファッション/アウター"
"3","M","3063","ブルゾン","レディースファッション/アウター"
"4","L","3063","ブルゾン","レディースファッション/アウター"
"5","XL以上","3063","ブルゾン","レディースファッション/アウター"
"1","XS以下","3064","アウターその他","レディースファッション/アウター"
"2","S","3064","アウターその他","レディースファッション/アウター"
"3","M","3064","アウターその他","レディースファッション/アウター"
"4","L","3064","アウターその他","レディースファッション/アウター"
"5","XL以上","3064","アウターその他","レディースファッション/アウター"
"1","XS以下","3065","カーディガン","レディースファッション/トップス"
"2","S","3065","カーディガン","レディースファッション/トップス"
"3","M","3065","カーディガン","レディースファッション/トップス"
"4","L","3065","カーディガン","レディースファッション/トップス"
"5","XL以上","3065","カーディガン","レディースファッション/トップス"
"1","XS以下","3066","ポンチョ・ケープ","レディースファッション/アウター"
"2","S","3066","ポンチョ・ケープ","レディースファッション/アウター"
"3","M","3066","ポンチョ・ケープ","レディースファッション/アウター"
"4","L","3066","ポンチョ・ケープ","レディースファッション/アウター"
"5","XL以上","3066","ポンチョ・ケープ","レディースファッション/アウター"
"1","XS以下","3067","ダウンベスト","レディースファッション/アウター"
"2","S","3067","ダウンベスト","レディースファッション/アウター"
"3","M","3067","ダウンベスト","レディースファッション/アウター"
"4","L","3067","ダウンベスト","レディースファッション/アウター"
"5","XL以上","3067","ダウンベスト","レディースファッション/アウター"
