"名前","グループ名","カテゴリID","カテゴリ名","カテゴリパス"
"胸囲","トップス袖あり","3306","ピーコート","メンズファッション/アウター・ジャケット"
"袖丈","トップス袖あり","3306","ピーコート","メンズファッション/アウター・ジャケット"
"着丈","トップス袖あり","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"肩幅","トップス袖あり","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"胸囲","トップス袖あり","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"袖丈","トップス袖あり","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"着丈","トップス袖あり","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"肩幅","トップス袖あり","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"胸囲","トップス袖あり","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"袖丈","トップス袖あり","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"着丈","トップス袖あり","3309","カーディガン","メンズファッション/トップス"
"肩幅","トップス袖あり","3309","カーディガン","メンズファッション/トップス"
"胸囲","トップス袖あり","3309","カーディガン","メンズファッション/トップス"
"袖丈","トップス袖あり","3309","カーディガン","メンズファッション/トップス"
"着丈","トップス袖あり","3310","ジャージ","メンズファッション/アウター・ジャケット"
"肩幅","トップス袖あり","3310","ジャージ","メンズファッション/アウター・ジャケット"
"胸囲","トップス袖あり","3310","ジャージ","メンズファッション/アウター・ジャケット"
"袖丈","トップス袖あり","3310","ジャージ","メンズファッション/アウター・ジャケット"
"着丈","トップス袖なし","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"胸囲","トップス袖なし","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"着丈","トップス袖あり","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"肩幅","トップス袖あり","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"胸囲","トップス袖あり","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"袖丈","トップス袖あり","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"足幅","ドレスシューズ男性","3322","ドレスシューズ・革靴・ビジネスシューズ","メンズファッション/靴・ブーツ・サンダル"
"高さ","ブーツ男性","3323","ブーツ","メンズファッション/靴・ブーツ・サンダル"
"ヒール高","ブーツ男性","3323","ブーツ","メンズファッション/靴・ブーツ・サンダル"
"ヒール高","シューズ","3324","靴・ブーツ・サンダルその他","メンズファッション/靴・ブーツ・サンダル"
"幅","バッグストラップ","3341","ショルダーバッグ","メンズファッション/バッグ・カバン"
"高さ","バッグストラップ","3341","ショルダーバッグ","メンズファッション/バッグ・カバン"
"マチ","バッグストラップ","3341","ショルダーバッグ","メンズファッション/バッグ・カバン"
"ストラップ","バッグストラップ","3341","ショルダーバッグ","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3342","トートバッグ","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3342","トートバッグ","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3342","トートバッグ","メンズファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3342","トートバッグ","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3343","ボストンバッグ","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3343","ボストンバッグ","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3343","ボストンバッグ","メンズファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3343","ボストンバッグ","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手なし","3344","バックパック・リュック","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手なし","3344","バックパック・リュック","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手なし","3344","バックパック・リュック","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3345","ビジネスバッグ・アタッシュケース","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3345","ビジネスバッグ・アタッシュケース","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3345","ビジネスバッグ・アタッシュケース","メンズファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3345","ビジネスバッグ・アタッシュケース","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3346","バッグ・カバンその他","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3346","バッグ・カバンその他","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3346","バッグ・カバンその他","メンズファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3346","バッグ・カバンその他","メンズファッション/バッグ・カバン"
"幅","バッグ持ち手なし","3347","クラッチバッグ","メンズファッション/バッグ・カバン"
"高さ","バッグ持ち手なし","3347","クラッチバッグ","メンズファッション/バッグ・カバン"
"マチ","バッグ持ち手なし","3347","クラッチバッグ","メンズファッション/バッグ・カバン"
"長さ","ネックレス","3360","ネックレス・チョーカー","メンズファッション/アクセサリー"
"トップ縦","ネックレス","3360","ネックレス・チョーカー","メンズファッション/アクセサリー"
"トップ横","ネックレス","3360","ネックレス・チョーカー","メンズファッション/アクセサリー"
"幅","ブレスレット","3362","ブレスレット","メンズファッション/アクセサリー"
"長さ","ブレスレット","3362","ブレスレット","メンズファッション/アクセサリー"
"幅","指輪","3363","指輪・リング","メンズファッション/アクセサリー"
"円周","指輪","3363","指輪・リング","メンズファッション/アクセサリー"
"幅","マフラー・スカーフ","3401","マフラー","メンズファッション/ファッション雑貨・小物"
"長さ","マフラー・スカーフ","3401","マフラー","メンズファッション/ファッション雑貨・小物"
"手首周り","手袋","3403","手袋","メンズファッション/ファッション雑貨・小物"
"全長","手袋","3403","手袋","メンズファッション/ファッション雑貨・小物"
"ウエスト","ベルト","3404","ベルト","メンズファッション/ファッション雑貨・小物"
"幅","ベルト","3404","ベルト","メンズファッション/ファッション雑貨・小物"
"全長","ベルト","3404","ベルト","メンズファッション/ファッション雑貨・小物"
"縦","財布系","3408","長財布","メンズファッション/財布・雑貨"
"横","財布系","3408","長財布","メンズファッション/財布・雑貨"
"厚み","財布系","3408","長財布","メンズファッション/財布・雑貨"
"縦","財布系","3411","カードケース・名刺入れ","メンズファッション/財布・雑貨"
"横","財布系","3411","カードケース・名刺入れ","メンズファッション/財布・雑貨"
"厚み","財布系","3411","カードケース・名刺入れ","メンズファッション/財布・雑貨"
"全長","ネクタイ","3413","ネクタイ","メンズファッション/ファッション雑貨・小物"
"最大幅","ネクタイ","3413","ネクタイ","メンズファッション/ファッション雑貨・小物"
"フレーム縦","アイウェア","3414","サングラス","メンズファッション/アイウェア"
"フレーム横 ","アイウェア","3414","サングラス","メンズファッション/アイウェア"
"レンズ縦","アイウェア","3414","サングラス","メンズファッション/アイウェア"
"レンズ横","アイウェア","3414","サングラス","メンズファッション/アイウェア"
"テンプル","アイウェア","3414","サングラス","メンズファッション/アイウェア"
"フレーム縦","アイウェア","3417","メガネ","メンズファッション/アイウェア"
"フレーム横 ","アイウェア","3417","メガネ","メンズファッション/アイウェア"
"レンズ縦","アイウェア","3417","メガネ","メンズファッション/アイウェア"
"レンズ横","アイウェア","3417","メガネ","メンズファッション/アイウェア"
"テンプル","アイウェア","3417","メガネ","メンズファッション/アイウェア"
"フレーム縦","アイウェア","3418","アイウェアその他","メンズファッション/アイウェア"
"フレーム横 ","アイウェア","3418","アイウェアその他","メンズファッション/アイウェア"
"レンズ縦","アイウェア","3418","アイウェアその他","メンズファッション/アイウェア"
"レンズ横","アイウェア","3418","アイウェアその他","メンズファッション/アイウェア"
"テンプル","アイウェア","3418","アイウェアその他","メンズファッション/アイウェア"
"縦","財布系","3419","折りたたみ財布","メンズファッション/財布・雑貨"
"横","財布系","3419","折りたたみ財布","メンズファッション/財布・雑貨"
"厚み","財布系","3419","折りたたみ財布","メンズファッション/財布・雑貨"
"着丈","トップス袖あり","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"肩幅","トップス袖あり","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"胸囲","トップス袖あり","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"袖丈","トップス袖あり","3420","アンダーシャツ・インナー","メンズファッション/インナー・ルームウェア"
"ウエスト","下着男性","3421","トランクス","メンズファッション/インナー・ルームウェア"
"ウエスト","下着男性","3422","ブリーフ","メンズファッション/インナー・ルームウェア"
"ウエスト","下着男性","3423","ボクサーパンツ","メンズファッション/インナー・ルームウェア"
"縦","財布系","3426","コインケース・小銭入れ","メンズファッション/財布・雑貨"
"横","財布系","3426","コインケース・小銭入れ","メンズファッション/財布・雑貨"
"厚み","財布系","3426","コインケース・小銭入れ","メンズファッション/財布・雑貨"
"縦","食器系（皿）","3541","食器（皿）","ライフスタイル/キッチン・ダイニング"
"横","食器系（皿）","3541","食器（皿）","ライフスタイル/キッチン・ダイニング"
"高さ","食器系（グラス・コップ）","3542","コップ・グラス","ライフスタイル/キッチン・ダイニング"
"直径","食器系（グラス・コップ）","3542","コップ・グラス","ライフスタイル/キッチン・ダイニング"
"高さ","小物・家具系","3544","容器・ストッカー","ライフスタイル/キッチン・ダイニング"
"縦","小物・家具系","3544","容器・ストッカー","ライフスタイル/キッチン・ダイニング"
"横","小物・家具系","3544","容器・ストッカー","ライフスタイル/キッチン・ダイニング"
"縦","カバー・タオル系","3546","テーブルリネン","ライフスタイル/キッチン・ダイニング"
"横","カバー・タオル系","3546","テーブルリネン","ライフスタイル/キッチン・ダイニング"
"総丈","エプロン・ポンチョ","3547","エプロン","ライフスタイル/キッチン・ダイニング"
"幅","エプロン・ポンチョ","3547","エプロン","ライフスタイル/キッチン・ダイニング"
"高さ","食器系（グラス・コップ）","3551","マグカップ・ティーカップ","ライフスタイル/キッチン・ダイニング"
"直径","食器系（グラス・コップ）","3551","マグカップ・ティーカップ","ライフスタイル/キッチン・ダイニング"
"幅","家具・インテリア","3583","DIY・工具","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3583","DIY・工具","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3583","DIY・工具","ライフスタイル/インテリア雑貨"
"幅","家具・インテリア","3588","インテリア雑貨その他","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3588","インテリア雑貨その他","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3588","インテリア雑貨その他","ライフスタイル/インテリア雑貨"
"幅","家具・インテリア","3589","ミラー・鏡・姿見","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3589","ミラー・鏡・姿見","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3589","ミラー・鏡・姿見","ライフスタイル/インテリア雑貨"
"幅","家具・インテリア","3590","小物入れ(トレイ)","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3590","小物入れ(トレイ)","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3590","小物入れ(トレイ)","ライフスタイル/インテリア雑貨"
"幅","家具・インテリア","3591","ティッシュケース","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3591","ティッシュケース","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3591","ティッシュケース","ライフスタイル/インテリア雑貨"
"幅","スーツケース","3640","トラベルバッグ・旅行かばん","ライフスタイル/トラベルグッズ"
"高さ","スーツケース","3640","トラベルバッグ・旅行かばん","ライフスタイル/トラベルグッズ"
"奥行","スーツケース","3640","トラベルバッグ・旅行かばん","ライフスタイル/トラベルグッズ"
"幅","家具・インテリア","3663","ペットカート","ライフスタイル/ペット用品"
"高さ","家具・インテリア","3663","ペットカート","ライフスタイル/ペット用品"
"奥行","家具・インテリア","3663","ペットカート","ライフスタイル/ペット用品"
"高さ","フィギュア・人形","3682","キャラクターグッズ","ライフスタイル/ホビー・カルチャー"
"幅","家具・インテリア","3687","カメラ・カメラグッズ","ライフスタイル/デザイン家電"
"高さ","家具・インテリア","3687","カメラ・カメラグッズ","ライフスタイル/デザイン家電"
"奥行","家具・インテリア","3687","カメラ・カメラグッズ","ライフスタイル/デザイン家電"
"幅","家具・インテリア","3688","AV機器・オーディオ機器","ライフスタイル/デザイン家電"
"高さ","家具・インテリア","3688","AV機器・オーディオ機器","ライフスタイル/デザイン家電"
"奥行","家具・インテリア","3688","AV機器・オーディオ機器","ライフスタイル/デザイン家電"
"幅","家具・インテリア","3693","花瓶・植木鉢","ライフスタイル/インテリア雑貨"
"高さ","家具・インテリア","3693","花瓶・植木鉢","ライフスタイル/インテリア雑貨"
"奥行","家具・インテリア","3693","花瓶・植木鉢","ライフスタイル/インテリア雑貨"
"縦","カバー・タオル系","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"横","カバー・タオル系","3770","ベッドカバー・布団カバー・寝具","ライフスタイル/ファブリック"
"縦","カバー・タオル系","3771","ブランケット(ひざ掛け)","ライフスタイル/ファブリック"
"横","カバー・タオル系","3771","ブランケット(ひざ掛け)","ライフスタイル/ファブリック"
"縦","カバー・タオル系","3772","クッション・クッションカバー","ライフスタイル/ファブリック"
"横","カバー・タオル系","3772","クッション・クッションカバー","ライフスタイル/ファブリック"
"縦","カバー・タオル系","3773","ラグ・カーペット","ライフスタイル/ファブリック"
"横","カバー・タオル系","3773","ラグ・カーペット","ライフスタイル/ファブリック"
"縦","カバー・タオル系","3774","カーテン","ライフスタイル/ファブリック"
"横","カバー・タオル系","3774","カーテン","ライフスタイル/ファブリック"
"縦","カバー・タオル系","3775","タオル","ライフスタイル/ファブリック"
"横","カバー・タオル系","3775","タオル","ライフスタイル/ファブリック"
"ヒップ","下着女性ブラジャー＆ショーツ","3861","マタニティ下着・肌着","ベビー・キッズ/マタニティウェア・授乳服・グッズ"
"トップ","下着女性ブラジャー＆ショーツ","3861","マタニティ下着・肌着","ベビー・キッズ/マタニティウェア・授乳服・グッズ"
"アンダー","下着女性ブラジャー＆ショーツ","3861","マタニティ下着・肌着","ベビー・キッズ/マタニティウェア・授乳服・グッズ"
"幅","バッグ持ち手あり","3862","マザーズバッグ","ベビー・キッズ"
"高さ","バッグ持ち手あり","3862","マザーズバッグ","ベビー・キッズ"
"マチ","バッグ持ち手あり","3862","マザーズバッグ","ベビー・キッズ"
"持ち手","バッグ持ち手あり","3862","マザーズバッグ","ベビー・キッズ"
"幅","家具・インテリア","3866","パーテーション・間仕切り","ライフスタイル/家具・日用品"
"高さ","家具・インテリア","3866","パーテーション・間仕切り","ライフスタイル/家具・日用品"
"奥行","家具・インテリア","3866","パーテーション・間仕切り","ライフスタイル/家具・日用品"
"幅","壁紙系","3867","ウォールステッカー","ライフスタイル/インテリア雑貨"
"高さ","壁紙系","3867","ウォールステッカー","ライフスタイル/インテリア雑貨"
"幅","家具・インテリア","3868","ペットゲート","ライフスタイル/ペット用品"
"高さ","家具・インテリア","3868","ペットゲート","ライフスタイル/ペット用品"
"奥行","家具・インテリア","3868","ペットゲート","ライフスタイル/ペット用品"
"幅","家具・インテリア","3869","キャットタワー","ライフスタイル/ペット用品"
"高さ","家具・インテリア","3869","キャットタワー","ライフスタイル/ペット用品"
"奥行","家具・インテリア","3869","キャットタワー","ライフスタイル/ペット用品"
"着丈","トップス袖あり","4101","アンサンブル","レディースファッション/トップス"
"肩幅","トップス袖あり","4101","アンサンブル","レディースファッション/トップス"
"胸囲","トップス袖あり","4101","アンサンブル","レディースファッション/トップス"
"袖丈","トップス袖あり","4101","アンサンブル","レディースファッション/トップス"
"着丈","トップス袖なし","4102","キャミソール","レディースファッション/トップス"
"胸囲","トップス袖なし","4102","キャミソール","レディースファッション/トップス"
"着丈","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"肩幅","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"胸囲","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"袖丈","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"ウエスト","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"ヒップ","ワンピース系","4103","セットアップ","レディースファッション/ワンピース・オールインワン"
"着丈","トップス袖あり","4104","レザージャケット・コート","レディースファッション/アウター"
"肩幅","トップス袖あり","4104","レザージャケット・コート","レディースファッション/アウター"
"胸囲","トップス袖あり","4104","レザージャケット・コート","レディースファッション/アウター"
"袖丈","トップス袖あり","4104","レザージャケット・コート","レディースファッション/アウター"
"着丈","トップス袖あり","4105","トレンチコート","レディースファッション/アウター"
"肩幅","トップス袖あり","4105","トレンチコート","レディースファッション/アウター"
"胸囲","トップス袖あり","4105","トレンチコート","レディースファッション/アウター"
"袖丈","トップス袖あり","4105","トレンチコート","レディースファッション/アウター"
"着丈","トップス袖あり","4106","ムートン・ファーコート","レディースファッション/アウター"
"肩幅","トップス袖あり","4106","ムートン・ファーコート","レディースファッション/アウター"
"胸囲","トップス袖あり","4106","ムートン・ファーコート","レディースファッション/アウター"
"袖丈","トップス袖あり","4106","ムートン・ファーコート","レディースファッション/アウター"
"着丈","トップス袖なし","4107","ベスト・ジレ","レディースファッション/アウター"
"胸囲","トップス袖なし","4107","ベスト・ジレ","レディースファッション/アウター"
"ヒール高","シューズ","4108","スリッポン","レディースファッション/靴・シューズ"
"ヒール高","シューズ","4109","ローファー・オックスフォード","レディースファッション/靴・シューズ"
"ヒール高","シューズ","4110","バレエシューズ","レディースファッション/靴・シューズ"
"ヒール高","シューズ","4111","レインシューズ","レディースファッション/靴・シューズ"
"高さ","ブーツ女性","4112","ミドルブーツ","レディースファッション/ブーツ"
"ヒール高","ブーツ女性","4112","ミドルブーツ","レディースファッション/ブーツ"
"つつ周り","ブーツ女性","4112","ミドルブーツ","レディースファッション/ブーツ"
"縦","財布系","4113","パスケース","レディースファッション/財布・小物"
"横","財布系","4113","パスケース","レディースファッション/財布・小物"
"厚み","財布系","4113","パスケース","レディースファッション/財布・小物"
"縦","財布系","4114","キーケース","レディースファッション/財布・小物"
"横","財布系","4114","キーケース","レディースファッション/財布・小物"
"厚み","財布系","4114","キーケース","レディースファッション/財布・小物"
"縦","財布系","4115","バッグチャーム","レディースファッション/財布・小物"
"横","財布系","4115","バッグチャーム","レディースファッション/財布・小物"
"厚み","財布系","4115","バッグチャーム","レディースファッション/財布・小物"
"高さ","帽子","4116","ハット","レディースファッション/帽子"
"頭周り","帽子","4116","ハット","レディースファッション/帽子"
"つば","帽子","4116","ハット","レディースファッション/帽子"
"高さ","帽子","4117","キャップ","レディースファッション/帽子"
"頭周り","帽子","4117","キャップ","レディースファッション/帽子"
"つば","帽子","4117","キャップ","レディースファッション/帽子"
"高さ","帽子","4118","ストローハット","レディースファッション/帽子"
"頭周り","帽子","4118","ストローハット","レディースファッション/帽子"
"つば","帽子","4118","ストローハット","レディースファッション/帽子"
"高さ","帽子","4119","ニットキャップ・ビーニー","レディースファッション/帽子"
"頭周り","帽子","4119","ニットキャップ・ビーニー","レディースファッション/帽子"
"つば","帽子","4119","ニットキャップ・ビーニー","レディースファッション/帽子"
"高さ","帽子","4120","ベレー帽","レディースファッション/帽子"
"頭周り","帽子","4120","ベレー帽","レディースファッション/帽子"
"つば","帽子","4120","ベレー帽","レディースファッション/帽子"
"高さ","帽子","4121","ハンチング・キャスケット","レディースファッション/帽子"
"頭周り","帽子","4121","ハンチング・キャスケット","レディースファッション/帽子"
"つば","帽子","4121","ハンチング・キャスケット","レディースファッション/帽子"
"高さ","帽子","4122","帽子・その他","レディースファッション/帽子"
"頭周り","帽子","4122","帽子・その他","レディースファッション/帽子"
"つば","帽子","4122","帽子・その他","レディースファッション/帽子"
"ウエスト","水着女性","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"ヒップ","水着女性","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"総丈","水着女性","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"トップ","水着女性","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"アンダー","水着女性","4133","ビキニ","レディースファッション/水着・ビーチグッズ"
"ウエスト","水着女性","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"ヒップ","水着女性","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"総丈","水着女性","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"トップ","水着女性","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"アンダー","水着女性","4134","ワンピース水着","レディースファッション/水着・ビーチグッズ"
"ウエスト","水着女性","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"ヒップ","水着女性","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"総丈","水着女性","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"トップ","水着女性","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"アンダー","水着女性","4135","タンキニ","レディースファッション/水着・ビーチグッズ"
"着丈","トップス袖あり","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"肩幅","トップス袖あり","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"胸囲","トップス袖あり","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"袖丈","トップス袖あり","4136","ラッシュガード","レディースファッション/水着・ビーチグッズ"
"縦","カバー・タオル系","4139","ビーチタオル","レディースファッション/水着・ビーチグッズ"
"横","カバー・タオル系","4139","ビーチタオル","レディースファッション/水着・ビーチグッズ"
"ウエスト","水着女性","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"ヒップ","水着女性","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"総丈","水着女性","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"トップ","水着女性","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"アンダー","水着女性","4140","水着・ビーチグッズその他","レディースファッション/水着・ビーチグッズ"
"着丈","トップス袖あり","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"肩幅","トップス袖あり","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"胸囲","トップス袖あり","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"袖丈","トップス袖あり","4145","フィットネストップス","レディースファッション/ヨガ・フィットネス"
"ウエスト","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"ヒップ","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"股上","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"股下","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"もも周り","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"すそ周り","ボトムスパンツ","4146","フィットネスボトムス","レディースファッション/ヨガ・フィットネス"
"縦","カバー・タオル系","4147","ヨガマット","レディースファッション/ヨガ・フィットネス"
"横","カバー・タオル系","4147","ヨガマット","レディースファッション/ヨガ・フィットネス"
"幅","バッグ持ち手あり","4148","フィットネスバッグ","レディースファッション/ヨガ・フィットネス"
"高さ","バッグ持ち手あり","4148","フィットネスバッグ","レディースファッション/ヨガ・フィットネス"
"マチ","バッグ持ち手あり","4148","フィットネスバッグ","レディースファッション/ヨガ・フィットネス"
"持ち手","バッグ持ち手あり","4148","フィットネスバッグ","レディースファッション/ヨガ・フィットネス"
"ヒール高","シューズ","4149","フィットネスシューズ","レディースファッション/ヨガ・フィットネス"
"縦","イヤリング","4152","イヤリング","レディースファッション/アクセサリー"
"横","イヤリング","4152","イヤリング","レディースファッション/アクセサリー"
"着丈","トップス袖なし","4201","ベスト・ジレ","メンズファッション/トップス"
"胸囲","トップス袖なし","4201","ベスト・ジレ","メンズファッション/トップス"
"縦","イヤリング","4202","ピアス","メンズファッション/アクセサリー"
"横","イヤリング","4202","ピアス","メンズファッション/アクセサリー"
"幅","腕時計","4204","アナログ時計","メンズファッション/腕時計"
"手首周り","腕時計","4204","アナログ時計","メンズファッション/腕時計"
"文字盤縦","腕時計","4204","アナログ時計","メンズファッション/腕時計"
"文字盤横","腕時計","4204","アナログ時計","メンズファッション/腕時計"
"幅","腕時計","4205","デジタル時計","メンズファッション/腕時計"
"手首周り","腕時計","4205","デジタル時計","メンズファッション/腕時計"
"文字盤縦","腕時計","4205","デジタル時計","メンズファッション/腕時計"
"文字盤横","腕時計","4205","デジタル時計","メンズファッション/腕時計"
"幅","腕時計","4206","腕時計その他","メンズファッション/腕時計"
"手首周り","腕時計","4206","腕時計その他","メンズファッション/腕時計"
"文字盤縦","腕時計","4206","腕時計その他","メンズファッション/腕時計"
"文字盤横","腕時計","4206","腕時計その他","メンズファッション/腕時計"
"高さ","帽子","4207","ハット","メンズファッション/帽子"
"頭周り","帽子","4207","ハット","メンズファッション/帽子"
"つば","帽子","4207","ハット","メンズファッション/帽子"
"高さ","帽子","4208","キャップ","メンズファッション/帽子"
"頭周り","帽子","4208","キャップ","メンズファッション/帽子"
"つば","帽子","4208","キャップ","メンズファッション/帽子"
"高さ","帽子","4209","ストローハット","メンズファッション/帽子"
"頭周り","帽子","4209","ストローハット","メンズファッション/帽子"
"つば","帽子","4209","ストローハット","メンズファッション/帽子"
"高さ","帽子","4210","ニットキャップ・ビーニー","メンズファッション/帽子"
"頭周り","帽子","4210","ニットキャップ・ビーニー","メンズファッション/帽子"
"つば","帽子","4210","ニットキャップ・ビーニー","メンズファッション/帽子"
"高さ","帽子","4211","ハンチング・キャスケット","メンズファッション/帽子"
"頭周り","帽子","4211","ハンチング・キャスケット","メンズファッション/帽子"
"つば","帽子","4211","ハンチング・キャスケット","メンズファッション/帽子"
"高さ","帽子","4212","ベレー帽","メンズファッション/帽子"
"頭周り","帽子","4212","ベレー帽","メンズファッション/帽子"
"つば","帽子","4212","ベレー帽","メンズファッション/帽子"
"高さ","帽子","4213","サンバイザー","メンズファッション/帽子"
"頭周り","帽子","4213","サンバイザー","メンズファッション/帽子"
"つば","帽子","4213","サンバイザー","メンズファッション/帽子"
"高さ","帽子","4214","帽子その他","メンズファッション/帽子"
"頭周り","帽子","4214","帽子その他","メンズファッション/帽子"
"つば","帽子","4214","帽子その他","メンズファッション/帽子"
"着丈","トップス袖あり","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"肩幅","トップス袖あり","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"胸囲","トップス袖あり","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"袖丈","トップス袖あり","4223","ラッシュガード","メンズファッション/水着・ビーチグッズ"
"縦","カバー・タオル系","4225","ビーチタオル","メンズファッション/水着・ビーチグッズ"
"横","カバー・タオル系","4225","ビーチタオル","メンズファッション/水着・ビーチグッズ"
"着丈","トップス袖あり","4227","フィットネストップス","メンズファッション/フィットネス"
"肩幅","トップス袖あり","4227","フィットネストップス","メンズファッション/フィットネス"
"胸囲","トップス袖あり","4227","フィットネストップス","メンズファッション/フィットネス"
"袖丈","トップス袖あり","4227","フィットネストップス","メンズファッション/フィットネス"
"ウエスト","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"ヒップ","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"股上","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"股下","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"もも周り","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"すそ周り","ボトムスパンツ","4228","フィットネスボトムス","メンズファッション/フィットネス"
"幅","バッグ持ち手あり","4229","フィットネスバッグ","メンズファッション/フィットネス"
"高さ","バッグ持ち手あり","4229","フィットネスバッグ","メンズファッション/フィットネス"
"マチ","バッグ持ち手あり","4229","フィットネスバッグ","メンズファッション/フィットネス"
"持ち手","バッグ持ち手あり","4229","フィットネスバッグ","メンズファッション/フィットネス"
"縦","イヤリング","4234","イヤリング","メンズファッション/アクセサリー"
